Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Perno p/Cruzamiento 1.1/8xM420,Perno p/Cruzamiento 1.1/8xM420,,2831236240-8,2.44,,,2.824,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x3.1/2,Perno p/Cruzamiento 7/8x3.1/2,35831.0,2831228035-5,0.35,,,0.35,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x12,Perno p/Cruzamiento 7/8x12,34566.0,2831228200-5,1.2,,,1.2,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x15,Perno p/Cruzamiento 7/8x15,34565.0,2831228240-4,1.5,,,1.5,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x7.1/2,Perno p/Cruzamiento 7/8x7.1/2,35334.0,2831228120-3,0.73,,,0.73,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x8 ,Perno p/Cruzamiento 7/8x8 ,35212.0,2831228128-9,0.755,,,0.755,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x8.1/2,Perno p/Cruzamiento 7/8x8.1/2,34568.0,2831228142-4,0.7,,,0.7,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 7/8x9,Perno p/Cruzamiento 7/8x9,34567.0,2831228144-0,0.757,,,0.757,OTROS PRODUCTOS NG C,,,,
"Perno p/Cruzamiento 7/8x10,1/2","Perno p/Cruzamiento 7/8x10,1/2",35832.0,2831228150-5,0.95,,,0.95,OTROS PRODUCTOS NG C,,,,
Perno P/Durmiente Puente 3/4x200,Perno P/Durmiente Puente 3/4x200,34400.0,2821624325-2,0.74,,,0.74,OTROS PRODUCTOS NG C,,,,
Perno p/Durmiente Puente 3/4x300,Perno p/Durmiente Puente 3/4x300,34570.0,2821624350-3,0.75,,,0.887,OTROS PRODUCTOS NG C,,,,
Perno p/Durmiente Puente 3/4x400,Perno p/Durmiente Puente 3/4x400,34673.0,2821624355-4,0.85,,,0.85,OTROS PRODUCTOS NG C,,,,
Perno p/Durmiente Puente 3/4x500,Perno p/Durmiente Puente 3/4x500,34573.0,2821624360-0,0.95,,,1.087,OTROS PRODUCTOS NG C,,,,
Perno p/Eclisa 3/4x99,Perno p/Eclisa 3/4x99,37842.0,2851724009-7,0.4341,,,0.4341,OTROS PRODUCTOS NG C,,,,
Perno Riel p/Eclisa G-5 7/8x130,Perno Riel p/Eclisa G-5 7/8x130,38095.0,2821628182-0,0.495,,,,OTROS PRODUCTOS NG C,,,,
Perno p/Silla 7/8x77,Perno p/Silla 7/8x77,35153.0,2851528014-8,0.323,1045 7/8,,0.323,OTROS PRODUCTOS NG C,,,,
Perno riel 3/4x4,Perno riel 3/4x4,34916.0,2721024064-6,0.266,,,0.266,PERNOS RIELEROS NG C,,,,
Perno riel FFCC 3/4x90,Perno riel FFCC 3/4x90,34768.0,2821624195-0,0.275,,,0.275,PERNOS RIELEROS NG C,,,,
Perno riel FFCC FGO 3/4x90,Perno riel FFCC FGO 3/4x90,36441.0,2821624180-2,0.28,,,0.402,PERNOS RIELEROS NG C,,,,
Perno riel FFCC BCY 7/8x115,Perno riel FFCC BCY 7/8x115,34546.0,2821628190-1,0.445,,,0.632,PERNOS RIELEROS NG C,,,,
Perno riel FFCC BCY 7/8x152,Perno riel FFCC BCY 7/8x152,35027.0,2821628195-2,0.5621,,,0.7491000000000001,PERNOS RIELEROS NG C,,,,
"Perno riel FFCC BCY 7/8x6""","Perno riel FFCC BCY 7/8x6""",37911.0,2821628154-5,0.435,,,0.622,PERNOS RIELEROS NG C,,,,
Perno riel t/Silla DJZ 1x76,Perno riel t/Silla DJZ 1x76,34564.0,2821632100-8,0.502,,,0.762,PERNOS RIELEROS NG C,,,,
Perno riel FFCC JDZ 1x130,Perno riel FFCC JDZ 1x130,35020.0,2821632140-7,0.685,,,0.9450000000000001,PERNOS RIELEROS NG C,,,,
Perno riel FFCC JDZ 1x156,Perno riel FFCC JDZ 1x156,34298.0,2821632145-8,0.687,,,0.9470000000000001,PERNOS RIELEROS NG C,,,,
Perno riel FFCC JDZ 1x165,Perno riel FFCC JDZ 1x165,35670.0,2821632147-4,0.72663,,,0.98663,PERNOS RIELEROS NG C,0.9972300000000001,,,
Perno riel FFCC JDZ 1x180,Perno riel FFCC JDZ 1x180,37896.0,2821632149-0,0.79268,,,1.05268,PERNOS RIELEROS NG C,,,,
Perno riel FFCC JDZ 1x200,Perno riel FFCC JDZ 1x200,38288.0,2821632151-2,0.88075,,,1.1407500000000002,PERNOS RIELEROS NG C,,,,
Perno riel FFCC KJX 1x140,Perno riel FFCC KJX 1x140,34547.0,2821632150-4,0.72,,,0.98,PERNOS RIELEROS NG C,0.9428,,,
Perno riel FFCC KA 1x175,Perno riel FFCC KA 1x175,37491.0,2821632160-1,0.81,,,1.0328000000000002,PERNOS RIELEROS NG C,,,,
Perno riel FFCC KZ 7/8x98,Perno riel FFCC KZ 7/8x98,34371.0,2821628145-6,0.323,,,0.458,PERNOS RIELEROS NG C,,,,
Perno riel FFCC U 3/4x100,Perno riel FFCC U 3/4x100,34465.0,2821624230-2,0.3,,,0.3,PERNOS RIELEROS NG C,,,,
Perno riel FFCC LGC 3/4x85,Perno riel FFCC LGC 3/4x85,35209.0,2821624170-5,0.261,1020 3/4,,0.261,PERNOS RIELEROS NG C,,,,
